x,y,classes
-90.166992,38.616761,1
-90.186336,38.638039,1
-90.20365,38.611272,1
-90.15645,38.629264,1
-90.164444,38.629817,1
-90.213908,38.590856,1
-90.149956,38.637233,1
-90.210433,38.610242,1
-90.170325,38.616358,1
-90.22555,38.580439,1
-90.266472,38.618317,1
-90.145839,38.633372,1
-90.198419,38.61385,1
-90.188669,38.643069,1
-90.128781,38.623064,1
-90.163894,38.629064,1
-90.119014,38.621344,1
-90.209644,38.610008,1
-90.178683,38.628914,1
-90.195094,38.655528,1
-90.187281,38.639722,1
-90.245008,38.617289,1
-90.228867,38.626525,1
-90.254742,38.630975,1
-90.255331,38.622603,1
-90.262011,38.618639,1
-90.282158,38.639933,1
-90.186331,38.638097,1
-90.127231,38.642747,1
-90.235206,38.630256,1
-90.188828,38.6433,1
-90.131878,38.642522,1
-90.276678,38.619033,1
-90.227542,38.630175,1
-90.166303,38.620406,1
-90.120783,38.593722,1
-90.178456,38.616803,1
-90.157356,38.628833,1
-90.193403,38.621242,1
-90.161269,38.648714,1
-90.171189,38.613303,1
-90.194294,38.621558,1
-90.138597,38.626803,1
-90.214264,38.591758,1
-90.185475,38.618878,1
-90.211847,38.610856,1
-90.217681,38.627417,1
-90.186767,38.619181,1
-90.143681,38.633575,1
-90.259839,38.587078,1
-90.267111,38.615583,1
-90.135119,38.656917,1
-90.23425,38.633156,1
-90.210839,38.630197,1
-90.182567,38.665106,1
-90.165872,38.622144,1
-90.131742,38.642644,1
-90.249144,38.631086,1
-90.197411,38.662303,1
-90.212744,38.608292,1
-90.210364,38.610261,1
-90.2599,38.618597,1
-90.234769,38.631583,1
-90.168878,38.617111,1
-90.19475,38.623139,1
-90.265614,38.631186,1
-90.140436,38.634197,1
-90.146708,38.632478,1
-90.246794,38.631739,1
-90.225864,38.580478,1
-90.214189,38.625869,1
-90.162339,38.636508,1
-90.256083,38.618097,1
-90.131597,38.623744,1
-90.200308,38.622275,1
-90.274656,38.645022,1
-90.270014,38.643125,1
-90.197139,38.613986,1
-90.260444,38.632061,1
-90.232636,38.615097,1
-90.229314,38.630872,1
-90.23225,38.631161,1
-90.214328,38.588183,1
-90.2147,38.602828,1
-90.265508,38.623219,1
-90.250681,38.630786,1
-90.178294,38.630933,1
-90.256303,38.621728,1
-90.239392,38.616639,1
-90.186186,38.664825,1
-90.166139,38.621111,1
-90.161411,38.637108,1
-90.216033,38.596617,1
-90.208525,38.610217,1
-90.25605,38.618292,1
-90.266486,38.618528,1
-90.21445,38.591658,1
-90.143036,38.631406,1
-90.245322,38.627797,1
-90.124156,38.621942,1
-90.133,38.624161,1
-90.164158,38.583581,1
-90.198517,38.613131,1
-90.249072,38.631314,1
-90.275169,38.605631,1
-90.138439,38.602686,1
