OBJECTID,STATE_CODE_001,STRUCTURE_NUMBER_008,RECORD_TYPE_005A,ROUTE_PREFIX_005B,SERVICE_LEVEL_005C,ROUTE_NUMBER_005D,DIRECTION_005E,HIGHWAY_DISTRICT_002,COUNTY_CODE_003,PLACE_CODE_004,FEATURES_DESC_006A,CRITICAL_FACILITY_006B,FACILITY_CARRIED_007,LOCATION_009,MIN_VERT_CLR_010,KILOPOINT_011,BASE_HWY_NETWORK_012,LRS_INV_ROUTE_013A,SUBROUTE_NO_013B,LAT_016,LONG_017,DETOUR_KILOS_019,TOLL_020,MAINTENANCE_021,OWNER_022,FUNCTIONAL_CLASS_026,YEAR_BUILT_027,TRAFFIC_LANES_ON_028A,TRAFFIC_LANES_UND_028B,ADT_029,YEAR_ADT_030,DESIGN_LOAD_031,APPR_WIDTH_MT_032,MEDIAN_CODE_033,DEGREES_SKEW_034,STRUCTURE_FLARED_035,RAILINGS_036A,TRANSITIONS_036B,APPR_RAIL_036C,APPR_RAIL_END_036D,HISTORY_037,NAVIGATION_038,NAV_VERT_CLR_MT_039,NAV_HORR_CLR_MT_040,OPEN_CLOSED_POSTED_041,SERVICE_ON_042A,SERVICE_UND_042B,STRUCTURE_KIND_043A,STRUCTURE_TYPE_043B,APPR_KIND_044A,APPR_TYPE_044B,MAIN_UNIT_SPANS_045,APPR_SPANS_046,HORR_CLR_MT_047,MAX_SPAN_LEN_MT_048,STRUCTURE_LEN_MT_049,LEFT_CURB_MT_050A,RIGHT_CURB_MT_050B,ROADWAY_WIDTH_MT_051,DECK_WIDTH_MT_052,VERT_CLR_OVER_MT_053,VERT_CLR_UND_REF_054A,VERT_CLR_UND_054B,LAT_UND_REF_055A,LAT_UND_MT_055B,LEFT_LAT_UND_MT_056,DECK_COND_058,SUPERSTRUCTURE_COND_059,SUBSTRUCTURE_COND_060,CHANNEL_COND_061,CULVERT_COND_062,OPR_RATING_METH_063,OPERATING_RATING_064,INV_RATING_METH_065,INVENTORY_RATING_066,STRUCTURAL_EVAL_067,DECK_GEOMETRY_EVAL_068,UNDCLRENCE_EVAL_069,POSTING_EVAL_070,WATERWAY_EVAL_071,APPR_ROAD_EVAL_072,WORK_PROPOSED_075A,WORK_DONE_BY_075B,IMP_LEN_MT_076,DATE_OF_INSPECT_090,INSPECT_FREQ_MONTHS_091,FRACTURE_092A,UNDWATER_LOOK_SEE_092B,SPEC_INSPECT_092C,FRACTURE_LAST_DATE_093A,UNDWATER_LAST_DATE_093B,SPEC_LAST_DATE_093C,BRIDGE_IMP_COST_094,ROADWAY_IMP_COST_095,TOTAL_IMP_COST_096,YEAR_OF_IMP_097,OTHER_STATE_CODE_098A,OTHER_STATE_PCNT_098B,OTHR_STATE_STRUC_NO_099,STRAHNET_HIGHWAY_100,PARALLEL_STRUCTURE_101,TRAFFIC_DIRECTION_102,TEMP_STRUCTURE_103,HIGHWAY_SYSTEM_104,FEDERAL_LANDS_105,YEAR_RECONSTRUCTED_106,DECK_STRUCTURE_TYPE_107,SURFACE_TYPE_108A,MEMBRANE_TYPE_108B,DECK_PROTECTION_108C,PERCENT_ADT_TRUCK_109,NATIONAL_NETWORK_110,PIER_PROTECTION_111,BRIDGE_LEN_IND_112,SCOUR_CRITICAL_113,FUTURE_ADT_114,YEAR_OF_FUTURE_ADT_115,MIN_NAV_CLR_MT_116,FED_AGENCY,SUBMITTED_BY,BRIDGE_CONDITION,LOWEST_RATING,DECK_AREA,STATUS,DATE,LATDD,LONGDD,x,y,
134773,17,82025600000000,1,8,1,0,0,8,163,1660,UPRR,,"I-55/64/70 EB CD """"",pier H-1 to abut H-5,5.16,0.853,1,1007007003,50,38370034,90100117,2,3,1,1,11,1969,2,0,19300,2017,5,11,0,0,1,1,0,0,N,5,N,0,0,A,6,2,4,3,0,0,4,0,11.1,37.8,123.7,0,0,10.7,11.7,99.99,R,7.01,H,3.7,0,7,5,6,N,N,6,44.7,6,23.7,5,4,8,5,N,6,31,1,152.1,224,24,Y24,N,N,224,,,2802,280,4203,,,,,0,N,1,,1,0,1997,1,9,0,0,13,0,,Y,N,19493,2046,0,N,17,F,5,1447.29,ST,724,38.616761,-90.166992,-90.1669919999895,38.6167609998389,
310050,29,36699,1,5,1,0,0,5,510,65000,IS 44,,BROADWAY S,S 13 T 45 N R 7 E,99.99,0.154,0,,,38381694,90111081,3,3,1,1,16,2023,2,2,7471,2023,0,13.4,0,52,1,1,1,1,1,4,N,0,0,A,1,1,3,2,0,0,1,0,13.4,38.3,38.3,0,0,13.4,14.3,99.99,H,5.06,H,3,0.8,7,9,9,N,N,3,67.5,3,40.5,9,9,3,5,N,8,,,0,723,24,N,N,N,,,,,,,,,,,0,N,1,,0,0,0,1,1,0,1,9,0,,Y,N,10459,2043,,N,29,G,7,547.69,ST,724,38.638039,-90.186336,-90.1863359997208,38.6380389996631,
301422,29,2685,1,5,1,0,0,5,510,65000,IS 44,,LAFAYETTE AVE E,S 26 T 45 N R 7 E,99.99,3.169,0,,,38364085,90121363,1,3,1,1,16,1978,2,10,6826,2023,6,7.3,0,26,0,1,0,0,0,5,N,0,0,A,5,1,4,2,0,0,2,0,11.3,29,57.3,1.5,1.5,11,15.4,99.99,H,4.88,H,2.9,2.9,7,7,6,N,N,1,86.4,1,51.3,6,4,3,5,N,8,,,0,823,24,N,N,N,,,,,,,,,,,0,N,2,,0,0,0,1,9,0,0,5,0,,Y,N,9556,2043,,N,29,F,6,882.42,MM,603,38.611272,-90.20365,-90.2036500000479,38.6112719998172,
134604,17,82001400000000,1,8,1,0,0,8,163,1660,RAMPS TO/FROM MLK DR,,3RD ST TO EB I-55/,E ST LOUIS,99.99,0.193,1,1007004021,20,38374535,90092322,16,3,1,1,11,1961,2,2,4450,2020,6,16.8,0,10,0,1,0,0,0,5,N,0,0,A,1,1,3,2,0,0,1,0,16.9,22.4,23,0,0,16.6,17.5,99.99,H,99.99,H,2.4,1.1,7,5,6,N,N,6,82,6,40.5,5,9,4,5,N,8,,,0,523,24,N,N,N,,,,,,,,,0,,0,N,1,,1,0,1993,1,0,0,1,8,0,,Y,N,4495,2046,0,N,17,F,5,402.5,ST,724,38.629264,-90.15645,-90.1564499997374,38.6292639998072,
134842,17,82038600000000,1,8,1,0,0,8,163,1660,LAND BRIDGE,,SB RELOCATED IL 3,UNDER MLK APPR BRDGE,5.51,3.878,1,2078800000,0,38374734,90095200,2,3,1,1,16,2015,2,0,1800,2018,9,11.6,0,12,0,1,1,1,1,5,0,0,0,A,1,0,3,2,0,0,1,0,11.8,18.7,19.5,0,0,11.6,12.6,5.38,N,0,N,0,0,7,8,8,N,N,8,83.6,8,64.2,8,7,N,5,N,8,,,0,923,48,N,N,N,,,,,,,,,0,,0,R,1,,0,0,,1,0,0,1,14,0,,Y,N,909,2046,0,N,17,G,7,245.7,ST,724,38.629817,-90.164444,-90.164443999653,38.6298170000749,
314627,29,882,1,1,1,55,0,5,510,65000,CST 2ND ST,,IS 55 S,S 344 T 45 N R 7 E,99.99,5.271,1,13,0,38352476,90125087,1,3,1,1,11,1965,4,2,45727,2023,6,18.9,0,30,0,1,1,1,1,5,N,0,0,P,1,1,4,2,0,0,8,0,16.9,24,182,0,0,16.5,17.3,99.99,H,6.15,H,3,1.9,8,7,6,N,N,1,42.3,1,25.2,6,4,6,5,N,6,,,0,1123,24,N,N,N,,,,,,,,,,,1,L,1,,1,0,2022,1,1,0,0,12,1,,Y,N,57159,2043,,N,29,F,6,3148.6,AM,1202,38.590856,-90.213908,-90.2139079997195,38.590856000052,
134819,17,82031300000000,1,1,1,70,0,8,163,1885,1ST STREET in E ST L,,RELOCATED I-70 WB,0.4 mi N of I-55/64,99.99,3.203,1,0000I07000,0,38381404,90085984,2,3,1,1,11,2013,2,2,21000,2019,9,15.8,0,0,0,1,1,1,1,5,0,0,0,A,1,1,3,2,0,0,1,0,16.1,47.5,48.2,0,0,15.8,16.8,99.99,N,0,N,0,0,8,8,8,N,N,8,59.9,8,46,8,9,N,5,N,8,,,0,523,24,N,N,N,,,,,,,,,0,,1,L,1,,1,0,,1,0,0,1,16,1,,Y,N,21210,2046,0,N,17,G,8,809.76,ST,724,38.637233,-90.149956,-90.1499560003951,38.6372329996885,
291882,29,1267,1,3,7,0,0,5,510,65000,IS 44,,RP IS55N TO TRUMAN,S 30 T 47 N R 2 E,99.99,0.299,1,279383,0,38364074,90123562,1,3,1,1,11,1970,2,2,6121,2023,6,14,0,25,0,0,1,1,1,5,N,0,0,A,1,1,2,1,0,0,3,0,12.5,20.4,50.6,0,0,12.5,13.3,99.99,H,6.43,H,3.8,1.7,7,6,6,N,N,1,60.3,1,36,6,9,5,5,N,7,,,0,823,24,N,N,N,,,,,,,,,,,0,N,1,,1,0,1990,1,3,0,1,18,0,,Y,N,7651,2043,,N,29,F,6,672.98,AM,1202,38.610242,-90.210433,-90.2104329999935,38.6102419999467,
134673,17,82014100000000,1,8,1,0,0,8,163,1660,UPRR O2 B C H 4 ESL sts,,"I-55/64 WB CD """"A""""",PIER A1 TO ABUT A46,4.5,0,1,1007004008,70,38365889,90101317,2,3,1,1,11,1968,2,4,3600,2017,6,12.8,0,0,1,1,0,1,0,5,N,0,0,P,7,4,4,3,0,0,46,0,10.5,47.2,1381,0,0,10,11,99.99,H,4.42,H,0.6,0.6,6,5,5,N,N,6,42.8,6,21.7,5,4,2,5,N,6,31,1,1381,223,24,Y24,N,N,223,,,25120,2512,37680,,,,,0,R,1,,1,0,2008,1,9,0,0,4,0,,Y,N,3636,2046,0,N,17,F,5,15191,ST,724,38.616358,-90.170325,-90.1703250003235,38.616357999996,
314604,29,879,1,1,1,55,0,5,510,65000,CST GASCONADE ST,,IS 55 N,S 3 T 44 N R 7 E,99.99,330.729,1,12,0,38344950,90133223,1,3,1,1,11,1965,4,2,42253,2023,6,18.9,0,44,0,1,1,1,1,5,N,0,0,A,1,1,2,1,0,0,3,0,16.5,21.3,59.1,0.2,0.2,16.5,17.3,99.99,H,4.57,H,3.1,0,5,5,6,N,N,1,55.8,1,33.3,5,2,6,5,N,8,35,1,7,823,24,N,N,N,,,,1517,152,2275,2024,,,,1,R,1,,1,0,1985,1,3,0,9,12,1,,Y,N,52816,2043,,N,29,F,5,1022.43,AM,1202,38.580439,-90.22555,-90.2255499996133,38.5804389998636,
